# Manually-verified baseline spec-id overrides.
#
# WHY THIS FILE EXISTS: WoW's own data model has no "spec membership" table for spells —
# see wow-spell-data-model.md and CLAUDE.md's "Baseline ability display" section for the
# full story. A baseline (never-a-talent) spell's spell_class_availability row is either
# explicitly spec-tagged (when Blizzard's own export states a restriction, e.g. a
# free=(...) annotation) or spec_id=NULL — and NULL is structurally ambiguous: it means
# "genuinely available to every spec of this class" for some spells (Leg Sweep) and
# "actually spec-restricted, but the source data just never says so" for others (Mind
# Sear, on Discipline Priest — confirmed leaking this exact way on 2026-08-06). There is
# no reliable way to tell these apart from the data alone.
#
# This file is the deliberate alternative to guessing: a hand-curated, one-at-a-time list
# of (spell, class, spec) facts, each one verified before being added — never bulk-derived,
# never auto-generated. Every entry here becomes an EXPLICIT spec_id row (source =
# 'verified_override'), added ALONGSIDE any existing spec_id=NULL row for the same spell —
# never replacing it. Read by TalentSelectionService::verifiedBaselineAbilityIds(), the only
# safe display path for baseline abilities (see that method's docblock — it ONLY reads
# source='verified_override' rows, never the ambiguous spec_id=NULL bucket).
#
# Format: spell_id | class_slug | spec_slug | name (comment only, not parsed)
# class_slug matches classes.slug; spec_slug matches specializations.slug (both
# Str::slug()'d at import time — "Beast Mastery" -> "beast-mastery").
#
# Adding a new line here is a real claim about the live game, not a data-cleanup nit —
# verify it (in-game, a real spellbook export, or equally solid evidence) before adding.

119381 | monk | windwalker | Leg Sweep
207167 | deathknight | frost | Blinding Sleet
212552 | deathknight | frost | Wraith Walk
439843 | deathknight | frost | Reaper's Mark
441424 | deathknight | frost | Exterminate

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Demon Hunter/Devourer, real arena-log cast evidence (see arena-log-api.md).
196718 | demonhunter | devourer | Darkness
198793 | demonhunter | devourer | Vengeful Retreat
217832 | demonhunter | devourer | Imprison
1217610 | demonhunter | devourer | Devour
1223412 | demonhunter | devourer | Soul Fragment
1234195 | demonhunter | devourer | Void Nova
1239123 | demonhunter | devourer | Hungering Slash
1245414 | demonhunter | devourer | Voidblade
1245453 | demonhunter | devourer | Cull

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Demon Hunter/Havoc, real arena-log cast evidence (see arena-log-api.md).
131347 | demonhunter | havoc | Glide
179057 | demonhunter | havoc | Chaos Nova
188501 | demonhunter | havoc | Spectral Sight
196718 | demonhunter | havoc | Darkness
201427 | demonhunter | havoc | Annihilation
# CORRECTED 2026-08-19: 209693 was removed earlier today as a suspected hidden duplicate of
# 178940 — wrong call, caught by cross-checking data/arena-logs/spell-usage/demonhunter/havoc.txt:
# real combat logs record casts under 209693, never 178940. Real arena-log cast evidence
# outranks the not_in_spellbook heuristic — restored.
209693 | demonhunter | havoc | Shattered Souls
232893 | demonhunter | havoc | Felblade
278326 | demonhunter | havoc | Consume Magic
370966 | demonhunter | havoc | The Hunt
442294 | demonhunter | havoc | Reaver's Glaive

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Demon Hunter/Vengeance, real arena-log cast evidence (see arena-log-api.md).
131347 | demonhunter | vengeance | Glide
179057 | demonhunter | vengeance | Chaos Nova
188501 | demonhunter | vengeance | Spectral Sight
196718 | demonhunter | vengeance | Darkness
204255 | demonhunter | vengeance | Soul Fragment
217832 | demonhunter | vengeance | Imprison
225919 | demonhunter | vengeance | Fracture
232893 | demonhunter | vengeance | Felblade

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Druid/Balance, real arena-log cast evidence (see arena-log-api.md).
99 | druid | balance | Incapacitating Roar
783 | druid | balance | Travel Form (desc=Shapeshift)
5211 | druid | balance | Mighty Bash
5215 | druid | balance | Prowl
5487 | druid | balance | Bear Form (desc=Shapeshift)
# Wild Charge override REMOVED here 2026-08-19 — 16979 is a hidden internal duplicate copy
# (not_in_spellbook=1, literal name "Wild Charge (desc=Talent)"). The real, visible spell
# (102401, clean name "Wild Charge", already correctly Root/is_peel-tagged in
# cc-synergies-overrides.txt) is a genuine shared Druid Class-tree talent and already resolves
# for every spec via allTalentSpellIds() with no override needed at all — this line was both
# unnecessary and actively wrong, producing a second, duplicate "Wild Charge" card.
22842 | druid | balance | Frenzied Regeneration
33786 | druid | balance | Cyclone
# Typhoon (61391) stays removed here — unlike Shattered Souls below, its "real" sibling (132469)
# IS independently reachable via allTalentSpellIds() (a genuine shared Druid Class-tree talent),
# so re-adding 61391 as an override would recreate a duplicate row, not fix a gap. The real
# problem this surfaced — arena-log spell-usage/druid/*.txt records casts under 61391, so
# isPriority never matched 132469 and Typhoon vanished from the Cooldowns tab — is fixed at the
# code level instead (isPriority now checks same-named siblings too), not by duplicating
# availability. See TalentSelectionService/WowComps 2026-08-19 for the actual fix. Stampeding
# Roar's 77761 override stays removed for the same "real sibling already reachable" reason.
93402 | druid | balance | Sunfire
102359 | druid | balance | Mass Entanglement
102560 | druid | balance | Incarnation: Chosen of Elune (desc=Talent, Shapeshift)
164862 | druid | balance | Flap
1233272 | druid | balance | Lunar Eclipse
1233346 | druid | balance | Solar Eclipse

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Druid/Feral, real arena-log cast evidence (see arena-log-api.md).
768 | druid | feral | Cat Form (desc=Shapeshift)
2782 | druid | feral | Remove Corruption
5211 | druid | feral | Mighty Bash
22570 | druid | feral | Maim
33786 | druid | feral | Cyclone
# Wild Charge / Typhoon / Stampeding Roar overrides REMOVED here 2026-08-19 — see the Balance-
# spec note above for the full reasoning (real sibling already reachable via the talent tree;
# isPriority sibling-matching fixed at the code level instead).
102793 | druid | feral | Ursol's Vortex
106785 | druid | feral | Swipe
106839 | druid | feral | Skull Bash

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Druid/Guardian, real arena-log cast evidence (see arena-log-api.md).
99 | druid | guardian | Incapacitating Roar
768 | druid | guardian | Cat Form (desc=Shapeshift)
1079 | druid | guardian | Rip
1822 | druid | guardian | Rake
2782 | druid | guardian | Remove Corruption
5215 | druid | guardian | Prowl
5487 | druid | guardian | Bear Form (desc=Shapeshift)
# Wild Charge override REMOVED here 2026-08-19 — see the balance-spec note above for the full
# reason (hidden duplicate copy; the real spell resolves via the shared talent tree already).
22570 | druid | guardian | Maim
33786 | druid | guardian | Cyclone
33917 | druid | guardian | Mangle
77758 | druid | guardian | Thrash
# Stampeding Roar override REMOVED here too, same reason as the Balance-spec note above.
102793 | druid | guardian | Ursol's Vortex
106839 | druid | guardian | Skull Bash
192081 | druid | guardian | Ironfur
1269658 | druid | guardian | Wild Guardian
1270292 | druid | guardian | Lunar Beam

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Druid/Restoration, real arena-log cast evidence (see arena-log-api.md).
99 | druid | restoration | Incapacitating Roar
768 | druid | restoration | Cat Form (desc=Shapeshift)
783 | druid | restoration | Travel Form (desc=Shapeshift)
5215 | druid | restoration | Prowl
22570 | druid | restoration | Maim
29166 | druid | restoration | Innervate
33786 | druid | restoration | Cyclone
# Wild Charge override REMOVED here 2026-08-19 — see the balance-spec note above for the full
# reason (hidden duplicate copy; the real spell resolves via the shared talent tree already).
106785 | druid | restoration | Swipe
106898 | druid | restoration | Stampeding Roar
155777 | druid | restoration | Rejuvenation (Germination)
197626 | druid | restoration | Starsurge

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Evoker/Augmentation, real arena-log cast evidence (see arena-log-api.md).
357208 | evoker | augmentation | Fire Breath (desc=Red)
360806 | evoker | augmentation | Sleep Walk (desc=Green)
360995 | evoker | augmentation | Verdant Embrace (desc=Green)
361195 | evoker | augmentation | Verdant Embrace
364342 | evoker | augmentation | Blessing of the Bronze (desc=Bronze)
370553 | evoker | augmentation | Tip the Scales (desc=Bronze)
374968 | evoker | augmentation | Time Spiral (desc=Bronze)
442204 | evoker | augmentation | Breath of Eons (desc=Bronze)

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Evoker/Devastation, real arena-log cast evidence (see arena-log-api.md).
355913 | evoker | devastation | Emerald Blossom (desc=Green)
356995 | evoker | devastation | Disintegrate (desc=Blue)
357210 | evoker | devastation | Deep Breath (desc=Black)
360806 | evoker | devastation | Sleep Walk (desc=Green)
362969 | evoker | devastation | Azure Strike (desc=Blue)
363916 | evoker | devastation | Obsidian Scales (desc=Black)
370553 | evoker | devastation | Tip the Scales (desc=Bronze)
370665 | evoker | devastation | Rescue
374968 | evoker | devastation | Time Spiral (desc=Bronze)
382266 | evoker | devastation | Fire Breath (desc=Red)
382411 | evoker | devastation | Eternity Surge (desc=Blue)
1265872 | evoker | devastation | Azure Sweep (desc=Blue)
1265980 | evoker | devastation | Twin Flame

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Evoker/Preservation, real arena-log cast evidence (see arena-log-api.md).
355941 | evoker | preservation | Dream Breath
356995 | evoker | preservation | Disintegrate (desc=Blue)
357208 | evoker | preservation | Fire Breath (desc=Red)
358385 | evoker | preservation | Landslide (desc=Black)
360806 | evoker | preservation | Sleep Walk (desc=Green)
361195 | evoker | preservation | Verdant Embrace
363916 | evoker | preservation | Obsidian Scales (desc=Black)
370553 | evoker | preservation | Tip the Scales (desc=Bronze)
372048 | evoker | preservation | Oppressing Roar (desc=Black)
374251 | evoker | preservation | Cauterizing Flame (desc=Red)
374968 | evoker | preservation | Time Spiral (desc=Bronze)
431443 | evoker | preservation | Chrono Flames (desc=Bronze)
1256581 | evoker | preservation | Merithra's Blessing (desc=Green)

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Hunter/Beast Mastery, real arena-log cast evidence (see arena-log-api.md).
5116 | hunter | beast-mastery | Concussive Shot
19577 | hunter | beast-mastery | Intimidation
109248 | hunter | beast-mastery | Binding Shot
147362 | hunter | beast-mastery | Counter Shot
272682 | hunter | beast-mastery | Master's Call (desc=Command Pet Ability)

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Hunter/Marksmanship, real arena-log cast evidence (see arena-log-api.md).
781 | hunter | marksmanship | Disengage
5116 | hunter | marksmanship | Concussive Shot
109248 | hunter | marksmanship | Binding Shot
109304 | hunter | marksmanship | Exhilaration
185358 | hunter | marksmanship | Arcane Shot
186257 | hunter | marksmanship | Aspect of the Cheetah
186265 | hunter | marksmanship | Aspect of the Turtle
392060 | hunter | marksmanship | Wailing Arrow
466930 | hunter | marksmanship | Black Arrow
474421 | hunter | marksmanship | Intimidation
1241871 | hunter | marksmanship | Master's Call (desc=Command Pet Ability)

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Hunter/Survival, real arena-log cast evidence (see arena-log-api.md).
136 | hunter | survival | Mend Pet
781 | hunter | survival | Disengage
1543 | hunter | survival | Flare
5116 | hunter | survival | Concussive Shot
6262 | hunter | survival | Healthstone
19577 | hunter | survival | Intimidation
19801 | hunter | survival | Tranquilizing Shot
53480 | hunter | survival | Roar of Sacrifice
109248 | hunter | survival | Binding Shot
109304 | hunter | survival | Exhilaration
186257 | hunter | survival | Aspect of the Cheetah
186265 | hunter | survival | Aspect of the Turtle
187707 | hunter | survival | Muzzle
195645 | hunter | survival | Wing Clip
199483 | hunter | survival | Camouflage
257284 | hunter | survival | Hunter's Mark
265189 | hunter | survival | Raptor Strike
272682 | hunter | survival | Master's Call (desc=Command Pet Ability)
1253859 | hunter | survival | Takedown
1262293 | hunter | survival | Raptor Swipe
1264949 | hunter | survival | Moonlight Chakram

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Mage/Arcane, real arena-log cast evidence (see arena-log-api.md).
1953 | mage | arcane | Blink
30449 | mage | arcane | Spellsteal
31661 | mage | arcane | Dragon's Breath
110959 | mage | arcane | Greater Invisibility
113724 | mage | arcane | Ring of Frost
157997 | mage | arcane | Ice Nova
342245 | mage | arcane | Alter Time
414664 | mage | arcane | Mass Invisibility

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Mage/Fire, real arena-log cast evidence (see arena-log-api.md).
30449 | mage | fire | Spellsteal
31661 | mage | fire | Dragon's Breath
45438 | mage | fire | Ice Block
110959 | mage | fire | Greater Invisibility
113724 | mage | fire | Ring of Frost
157997 | mage | fire | Ice Nova
212653 | mage | fire | Shimmer
342245 | mage | fire | Alter Time
414664 | mage | fire | Mass Invisibility
431044 | mage | fire | Frostfire Bolt

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Monk/Mistweaver, real arena-log cast evidence (see arena-log-api.md).
100780 | monk | mistweaver | Tiger Palm
100784 | monk | mistweaver | Blackout Kick
101643 | monk | mistweaver | Transcendence
115008 | monk | mistweaver | Chi Torpedo
115175 | monk | mistweaver | Soothing Mist
115203 | monk | mistweaver | Fortifying Brew
115294 | monk | mistweaver | Mana Tea
115313 | monk | mistweaver | Summon Jade Serpent Statue
116841 | monk | mistweaver | Tiger's Lust
117952 | monk | mistweaver | Crackling Jade Lightning
119381 | monk | mistweaver | Leg Sweep
198898 | monk | mistweaver | Song of Chi-Ji

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Monk/Windwalker, real arena-log cast evidence (see arena-log-api.md).
100780 | monk | windwalker | Tiger Palm
100784 | monk | windwalker | Blackout Kick
101546 | monk | windwalker | Spinning Crane Kick
101643 | monk | windwalker | Transcendence
109132 | monk | windwalker | Roll
115203 | monk | windwalker | Fortifying Brew
116095 | monk | windwalker | Disable
116670 | monk | windwalker | Vivify
116705 | monk | windwalker | Spear Hand Strike
116841 | monk | windwalker | Tiger's Lust
116844 | monk | windwalker | Ring of Peace
467307 | monk | windwalker | Rushing Wind Kick

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Paladin/Holy, real arena-log cast evidence (see arena-log-api.md).
1044 | paladin | holy | Blessing of Freedom
6940 | paladin | holy | Blessing of Sacrifice
115750 | paladin | holy | Blinding Light
156322 | paladin | holy | Eternal Flame
375576 | paladin | holy | Divine Toll
415388 | paladin | holy | Reclamation
1241413 | paladin | holy | Hammer of Wrath

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Paladin/Protection, real arena-log cast evidence (see arena-log-api.md).
1044 | paladin | protection | Blessing of Freedom
6940 | paladin | protection | Blessing of Sacrifice
26573 | paladin | protection | Consecration
53600 | paladin | protection | Shield of the Righteous
85673 | paladin | protection | Word of Glory
96231 | paladin | protection | Rebuke
115750 | paladin | protection | Blinding Light
375576 | paladin | protection | Divine Toll
432459 | paladin | protection | Holy Bulwark
432472 | paladin | protection | Sacred Weapon
1241413 | paladin | protection | Hammer of Wrath

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Paladin/Retribution, real arena-log cast evidence (see arena-log-api.md).
642 | paladin | retribution | Divine Shield
1044 | paladin | retribution | Blessing of Freedom
6940 | paladin | retribution | Blessing of Sacrifice
20271 | paladin | retribution | Judgment
24275 | paladin | retribution | Hammer of Wrath
96231 | paladin | retribution | Rebuke
115750 | paladin | retribution | Blinding Light
156322 | paladin | retribution | Eternal Flame
190784 | paladin | retribution | Divine Steed
375576 | paladin | retribution | Divine Toll
408385 | paladin | retribution | Crusading Strikes
471195 | paladin | retribution | Lay on Hands

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Priest/Discipline, real arena-log cast evidence (see arena-log-api.md).
586 | priest | discipline | Fade
8122 | priest | discipline | Psychic Scream
10060 | priest | discipline | Power Infusion
73325 | priest | discipline | Leap of Faith
450215 | priest | discipline | Void Blast
1253593 | priest | discipline | Void Shield

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Priest/Holy, real arena-log cast evidence (see arena-log-api.md).
2061 | priest | holy | Flash Heal
8122 | priest | holy | Psychic Scream
10060 | priest | holy | Power Infusion
121536 | priest | holy | Angelic Feather
215769 | priest | holy | Spirit of Redemption (desc=PvP Talent)
1262763 | priest | holy | Benediction

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Priest/Shadow, real arena-log cast evidence (see arena-log-api.md).
528 | priest | shadow | Dispel Magic
589 | priest | shadow | Shadow Word: Pain
10060 | priest | shadow | Power Infusion
32379 | priest | shadow | Shadow Word: Death
263165 | priest | shadow | Void Torrent
341263 | priest | shadow | Shadowy Apparition

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Rogue/Assassination, real arena-log cast evidence (see arena-log-api.md).
1776 | rogue | assassination | Gouge
# Mutilate override REMOVED here 2026-08-19 — 27576 is a hidden internal duplicate copy
# (not_in_spellbook=1). The real copy (1329, "Attack with both weapons" — matches Mutilate's
# actual dual-wield mechanic) already naturally has avail=[30:baseline] for this exact spec with
# no override needed at all.
31224 | rogue | assassination | Cloak of Shadows
452538 | rogue | assassination | Fatebound Coin (Tails)

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Rogue/Outlaw, real arena-log cast evidence (see arena-log-api.md).
1776 | rogue | outlaw | Gouge
1784 | rogue | outlaw | Stealth
1856 | rogue | outlaw | Vanish
2983 | rogue | outlaw | Sprint
5277 | rogue | outlaw | Evasion
5938 | rogue | outlaw | Shiv
57934 | rogue | outlaw | Tricks of the Trade
185311 | rogue | outlaw | Crimson Vial
441776 | rogue | outlaw | Coup de Grace

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Shaman/Elemental, real arena-log cast evidence (see arena-log-api.md).
5394 | shaman | elemental | Healing Stream Totem
51505 | shaman | elemental | Lava Burst
51514 | shaman | elemental | Hex (desc=Frog)
79206 | shaman | elemental | Spiritwalker's Grace
188196 | shaman | elemental | Lightning Bolt
192058 | shaman | elemental | Capacitor Totem
378773 | shaman | elemental | Greater Purge
443454 | shaman | elemental | Ancestral Swiftness

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Shaman/Enhancement, real arena-log cast evidence (see arena-log-api.md).
8004 | shaman | enhancement | Healing Surge
51485 | shaman | enhancement | Earthgrab Totem
57994 | shaman | enhancement | Wind Shear
108271 | shaman | enhancement | Astral Shift
108287 | shaman | enhancement | Totemic Projection
115356 | shaman | enhancement | Windstrike
188443 | shaman | enhancement | Chain Lightning
192058 | shaman | enhancement | Capacitor Totem
452201 | shaman | enhancement | Tempest
469270 | shaman | enhancement | Doom Winds

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Shaman/Restoration, real arena-log cast evidence (see arena-log-api.md).
974 | shaman | restoration | Earth Shield
8143 | shaman | restoration | Tremor Totem
51485 | shaman | restoration | Earthgrab Totem
51514 | shaman | restoration | Hex (desc=Frog)
57994 | shaman | restoration | Wind Shear
79206 | shaman | restoration | Spiritwalker's Grace
108287 | shaman | restoration | Totemic Projection
192058 | shaman | restoration | Capacitor Totem
378081 | shaman | restoration | Nature's Swiftness
378773 | shaman | restoration | Greater Purge
1267068 | shaman | restoration | Stormstream Totem

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Warlock/Affliction, real arena-log cast evidence (see arena-log-api.md).
691 | warlock | affliction | Summon Felhunter (desc=Summon)
702 | warlock | affliction | Curse of Weakness
333889 | warlock | affliction | Fel Domination

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Warlock/Demonology, real arena-log cast evidence (see arena-log-api.md).
686 | warlock | demonology | Shadow Bolt
1714 | warlock | demonology | Curse of Tongues
5484 | warlock | demonology | Howl of Terror
5782 | warlock | demonology | Fear
6789 | warlock | demonology | Mortal Coil
105174 | warlock | demonology | Hand of Gul'dan
108416 | warlock | demonology | Dark Pact
111771 | warlock | demonology | Demonic Gateway
119914 | warlock | demonology | Axe Toss (desc=Command Demon Ability)
264178 | warlock | demonology | Demonbolt
334275 | warlock | demonology | Curse of Exhaustion
385899 | warlock | demonology | Soulburn

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Warlock/Destruction, real arena-log cast evidence (see arena-log-api.md).
5484 | warlock | destruction | Howl of Terror
5782 | warlock | destruction | Fear
6789 | warlock | destruction | Mortal Coil
108416 | warlock | destruction | Dark Pact
111771 | warlock | destruction | Demonic Gateway
119909 | warlock | destruction | Seduction (desc=Command Demon Ability)
334275 | warlock | destruction | Curse of Exhaustion
385899 | warlock | destruction | Soulburn
442726 | warlock | destruction | Malevolence
445468 | warlock | destruction | Wither
452930 | warlock | destruction | Demonic Healthstone

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Warrior/Fury, real arena-log cast evidence (see arena-log-api.md).
100 | warrior | fury | Charge
1715 | warrior | fury | Hamstring
3411 | warrior | fury | Intervene
5246 | warrior | fury | Intimidating Shout
6343 | warrior | fury | Thunder Clap
18499 | warrior | fury | Berserker Rage
23920 | warrior | fury | Spell Reflection
46968 | warrior | fury | Shockwave
# Heroic Leap (52174) stays removed here — its "real" sibling (6544) IS independently reachable
# via allTalentSpellIds() (a genuine shared Warrior Class-tree talent), so re-adding 52174 would
# recreate a duplicate row rather than fix a gap. Same isPriority sibling-matching fix as Typhoon
# above closes the "vanished from Cooldowns tab" symptom without duplicating availability.
97462 | warrior | fury | Rallying Cry
107570 | warrior | fury | Storm Bolt
202168 | warrior | fury | Impending Victory
280735 | warrior | fury | Execute
335096 | warrior | fury | Bloodbath
335097 | warrior | fury | Crushing Blow
376079 | warrior | fury | Champion's Spear
435222 | warrior | fury | Thunder Blast

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Warrior/Protection, real arena-log cast evidence (see arena-log-api.md).
355 | warrior | protection | Taunt
3411 | warrior | protection | Intervene
6343 | warrior | protection | Thunder Clap
23922 | warrior | protection | Shield Slam
# Heroic Leap stays removed here too, same reason — see the Fury-spec note above.
202168 | warrior | protection | Impending Victory
376079 | warrior | protection | Champion's Spear
435222 | warrior | protection | Thunder Blast

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Warrior/Arms, real arena-log cast evidence (see arena-log-api.md).
5246 | warrior | arms | Intimidating Shout
6343 | warrior | arms | Thunder Clap
23920 | warrior | arms | Spell Reflection
46968 | warrior | arms | Shockwave
107570 | warrior | arms | Storm Bolt
202168 | warrior | arms | Impending Victory
376079 | warrior | arms | Champion's Spear
384100 | warrior | arms | Berserker Shout
1269383 | warrior | arms | Heroic Strike
1271985 | warrior | arms | Champion's Leap

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Mage/Frost, real arena-log cast evidence (see arena-log-api.md).
116 | mage | frost | Frostbolt
30449 | mage | frost | Spellsteal
31661 | mage | frost | Dragon's Breath
113724 | mage | frost | Ring of Frost
157997 | mage | frost | Ice Nova
199786 | mage | frost | Glacial Spike
212653 | mage | frost | Shimmer
342245 | mage | frost | Alter Time
414664 | mage | frost | Mass Invisibility

# Added via wow:diff-arena-spells --apply, 2026-08-17 — Warlock/Affliction, real arena-log cast evidence (see arena-log-api.md).
6201 | warlock | affliction | Create Healthstone
234153 | warlock | affliction | Drain Life
366222 | warlock | affliction | Summon Sayaad
442726 | warlock | affliction | Malevolence
442804 | warlock | affliction | Curse of the Satyr
445468 | warlock | affliction | Wither

# Added via wow:diff-arena-spells --apply, 2026-08-17 — Warlock/Demonology, real arena-log cast evidence (see arena-log-api.md).
104773 | warlock | demonology | Unending Resolve
333889 | warlock | demonology | Fel Domination
452930 | warlock | demonology | Demonic Healthstone

# Added via wow:diff-arena-spells --apply, 2026-08-17 — Warlock/Destruction, real arena-log cast evidence (see arena-log-api.md).
691 | warlock | destruction | Summon Felhunter (desc=Summon)
6201 | warlock | destruction | Create Healthstone
104773 | warlock | destruction | Unending Resolve
333889 | warlock | destruction | Fel Domination
366222 | warlock | destruction | Summon Sayaad
442804 | warlock | destruction | Curse of the Satyr

# Evoker Crowd Control gap, found 2026-08-18 via direct user report ("Preservation Evoker isn't
# showing CC — Landslide and a 3s stun I can't think of the name of"). Both already had a correct
# dr_category in cc-synergies-overrides.txt (from the 2026-08-17 discover-cc-spells batch) but
# neither had ever been given a baseline-spec-overrides.txt line, so both sat unreachable in the
# ambiguous spec_id=NULL bucket on every tab, not just Crowd Control.
# Terror of the Skies (372245): own description reads "$?s403631[Breath of Eons][Deep Breath]
# stuns enemies for..." — 403631 (Breath of Eons) is a confirmed Augmentation-exclusive talent
# (source=talent), so this stun is the shared component of Deep Breath (Devastation/Preservation's
# copy) or Breath of Eons (Augmentation's own talent-modified copy) — genuinely all 3 specs, not a
# guess from the "(desc=Black)" suffix alone.
# Landslide (355689): no conditional text to lean on, but no spec-specific variant exists either
# (checked — no Green/Bronze-suffixed sibling) — same "universal Evoker utility" shape as Hover,
# added the same way (2026-08-07 batch) without needing per-spec textual confirmation.
# CORRECTED 2026-08-19: preservation was wrongly duplicated here — 358385 (line above, added
# 2026-08-14 via wow:diff-arena-spells --apply, real arena-log cast evidence + real 90s cooldown
# data) already covers preservation and is the better-evidenced copy of the two (355689 has a
# duration but no cooldown at all). Two different spell_ids both overridden for the same
# class+spec renders as two visible rows for one ability — caught live by ImportSpellData's own
# "DUPLICATE OVERRIDE" check. Devastation/Augmentation have no competing evidence either way, so
# 355689 stays for those two.
355689 | evoker | devastation | Landslide (desc=Black)
355689 | evoker | augmentation | Landslide (desc=Black)
372245 | evoker | devastation | Terror of the Skies (desc=Black)
372245 | evoker | preservation | Terror of the Skies (desc=Black)
372245 | evoker | augmentation | Terror of the Skies (desc=Black)
# Penance (47540): Discipline's own signature ability (baseline, spec_id=Discipline already
# explicit in spell_class_availability — never shared with Holy or Shadow). Confirmed via direct
# user report 2026-08-21: showed in the Offensive Rotation combo (built from real match-cast
# evidence, spell-usage/priest/discipline.txt) but wasn't clickable, because it's completely
# absent from WowComps' own "Active Abilities" kit — not a talent (no talent_node_entries row)
# and its 9s cooldown falls 1s short of explicitBaselineCooldownAbilityIds()'s >=10s bar, so it
# cleared none of the four display-inclusion checks. See CLAUDE.md's "Offensive Rotation combo
# click-through" note for the full trace.
47540 | priest | discipline | Penance

# Added via wow:diff-arena-spells --apply, 2026-08-23 — Demon Hunter/Havoc, real arena-log cast evidence (see arena-log-api.md).
# Cleaned up 2026-08-24: this batch collided with several already-verified entries above (and,
# for Consuming Fire, with itself) — same name, second spell_id, both overridden for the same
# class/spec, producing two visible rows for one ability. Resolved per-pair against real DB data
# (cooldown/charges/not_in_spellbook/icon), not guessed: Felblade/Throw Glaive/Immolation
# Aura/Reaver's Glaive/Consuming Fire's kept ids all carry real cooldown+charges data and a
# descriptive icon; every dropped id here has no cooldown data and either a raw-numeric
# placeholder icon or (Reaver's Glaive's 444686, Shattered Souls' 228537/328951) is a hidden
# not_in_spellbook proc-condition/tooltip duplicate, not the real castable ability.
185245 | demonhunter | havoc | Torment
217832 | demonhunter | havoc | Imprison
452487 | demonhunter | havoc | Consuming Fire
452497 | demonhunter | havoc | Abyssal Gaze

# Added via wow:diff-arena-spells --apply, 2026-08-23 — Demon Hunter/Vengeance, real arena-log cast evidence (see arena-log-api.md).
# Felblade/Fracture both dropped here 2026-08-24 — same duplicate-override cleanup as the Havoc
# block above; 232893 (Felblade) and 225919 (Fracture) already cover Vengeance via the original
# 2026-08-06/2026-08-14 entries further up this file.

# Added via wow:diff-arena-spells --apply, 2026-08-23 — Demon Hunter/Devourer, real arena-log cast evidence (see arena-log-api.md).
131347 | demonhunter | devourer | Glide
183752 | demonhunter | devourer | Disrupt
185123 | demonhunter | devourer | Throw Glaive
185245 | demonhunter | devourer | Torment
207684 | demonhunter | devourer | Sigil of Misery
278326 | demonhunter | devourer | Consume Magic
1221150 | demonhunter | devourer | Collapsing Star
1245470 | demonhunter | devourer | Reaper's Toll
1245483 | demonhunter | devourer | Pierce the Veil
1246169 | demonhunter | devourer | The Hunt
1259431 | demonhunter | devourer | Predator's Wake
